ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcription,AlternativeValue,AlternativeTranscription
voro1241-10-613-1,,voro1241,10-613,ola pääl kandma,ola pääl kandma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-614-1,,voro1241,10-614,pää pääl kandma,pää pääl kandma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-615-1,,voro1241,10-615,kangli all kandma,kangli all kandma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-620-1,,voro1241,10-620,tuuma,tuuma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-630-1,,voro1241,10-630,saatma;olõtama,saatma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-630-2,,voro1241,10-630,saatma;olõtama,olõtama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-640-1,,voro1241,10-640,juht́ma;uhjama,juht́ma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-640-2,,voro1241,10-640,juht́ma;uhjama,uhjama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-650-1,,voro1241,10-650,juht́ma;uhjama,juht́ma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-650-2,,voro1241,10-650,juht́ma;uhjama,uhjama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-660-1,,voro1241,10-660,ratsutama;ratsallaq sõitma;sõitma,ratsutama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-660-2,,voro1241,10-660,ratsutama;ratsallaq sõitma;sõitma,ratsallaq sõitma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-660-3,,voro1241,10-660,ratsutama;ratsallaq sõitma;sõitma,sõitma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-670-1,,voro1241,10-670,"toukama;tuukama;tunkama;tsurmama;tüünämä;alla, ümbre kukkama;tsurmahutma; survama",toukama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-670-2,,voro1241,10-670,"toukama;tuukama;tunkama;tsurmama;tüünämä;alla, ümbre kukkama;tsurmahutma; survama",tuukama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-670-3,,voro1241,10-670,"toukama;tuukama;tunkama;tsurmama;tüünämä;alla, ümbre kukkama;tsurmahutma; survama",tunkama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-670-4,,voro1241,10-670,"toukama;tuukama;tunkama;tsurmama;tüünämä;alla, ümbre kukkama;tsurmahutma; survama",tsurmama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-670-5,,voro1241,10-670,"toukama;tuukama;tunkama;tsurmama;tüünämä;alla, ümbre kukkama;tsurmahutma; survama",tüünämä,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-670-6,,voro1241,10-670,"toukama;tuukama;tunkama;tsurmama;tüünämä;alla, ümbre kukkama;tsurmahutma; survama","alla, ümbre kukkama",,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-670-7,,voro1241,10-670,"toukama;tuukama;tunkama;tsurmama;tüünämä;alla, ümbre kukkama;tsurmahutma; survama",tsurmahutma,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-670-8,,voro1241,10-670,"toukama;tuukama;tunkama;tsurmama;tüünämä;alla, ümbre kukkama;tsurmahutma; survama",survama,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-710-1,,voro1241,10-710,tii;maantii;suuŕtii,tii,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-710-2,,voro1241,10-710,tii;maantii;suuŕtii,maantii,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-710-3,,voro1241,10-710,tii;maantii;suuŕtii,suuŕtii,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-720-1,,voro1241,10-720,tiirada;jalgtii,tiirada,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-720-2,,voro1241,10-720,tiirada;jalgtii,jalgtii,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-740-1,,voro1241,10-740,sild,sild,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-750-1,,voro1241,10-750,vankri;vangõŕ;rattaq;vakoń;vakuń,vankri,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-750-2,,voro1241,10-750,vankri;vangõŕ;rattaq;vakoń;vakuń,vangõŕ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-750-3,,voro1241,10-750,vankri;vangõŕ;rattaq;vakoń;vakuń,rattaq,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-750-4,,voro1241,10-750,vankri;vangõŕ;rattaq;vakoń;vakuń,vakoń,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-750-5,,voro1241,10-750,vankri;vangõŕ;rattaq;vakoń;vakuń,vakuń,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-760-1,,voro1241,10-760,tsõõŕ;ratas,tsõõŕ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-760-2,,voro1241,10-760,tsõõŕ;ratas,ratas,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-770-1,,voro1241,10-770,telǵ,telǵ,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-780-1,,voro1241,10-780,ikeq;ikäs,ikeq,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-780-2,,voro1241,10-780,ikeq;ikäs,ikäs,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-810-1,,voro1241,10-810,laiv,laiv,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-830-1,,voro1241,10-830,loodsik;veneq;vineq;klötś;irbus,loodsik,,,cosgrove2020,,,,,StandardOrth,,
voro1241-10-830-2,,voro1241,10-830,loodsik;veneq;vineq;klötś;irbus,veneq,,,cosgrove2020,,,,,StandardOrth,,
